"name","missing_files","processed"
"CP1_20240822_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240823_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240826_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240827_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240828_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240829_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240830_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240902_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240903_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240904_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240905_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240906_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240909_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240910_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240911_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240912_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240913_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240916_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240917_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240918_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240919_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240920_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240923_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240924_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240925_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240926_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240927_BATCH_0001.csv","SHEET","FALSE"
"CP1_20240930_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241001_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241002_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241003_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241004_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241007_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241008_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241009_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241010_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241011_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241014_BATCH_0001.csv","SHEET | COVER","FALSE"
"CP1_20241015_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241016_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241017_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241018_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241021_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241022_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241023_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241024_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241025_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241028_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241029_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241030_BATCH_0001.csv","SHEET","FALSE"
"CP1_20241031_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240315_BATCH_0001.csv","","TRUE"
"CP2_20240318_BATCH_0001.csv","","TRUE"
"CP2_20240320_BATCH_0001.csv","","TRUE"
"CP2_20240321_BATCH_0001.csv","","TRUE"
"CP2_20240322_BATCH_0001.csv","","TRUE"
"CP2_20240325_BATCH_0001.csv","","TRUE"
"CP2_20240326_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240327_BATCH_0001.csv","","TRUE"
"CP2_20240328_BATCH_0001.csv","","TRUE"
"CP2_20240329_BATCH_0001.csv","","TRUE"
"CP2_20240402_BATCH_0001.csv","COVER","FALSE"
"CP2_20240403_BATCH_0001.csv","COVER","FALSE"
"CP2_20240404_BATCH_0001.csv","COVER","FALSE"
"CP2_20240405_BATCH_0001.csv","COVER","FALSE"
"CP2_20240408_BATCH_0001.csv","COVER","FALSE"
"CP2_20240409_BATCH_0001.csv","SHEET | COVER","FALSE"
"CP2_20240410_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240411_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240412_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240415_BATCH_0001.csv","SHEET | COVER","FALSE"
"CP2_20240416_BATCH_0001.csv","COVER","FALSE"
"CP2_20240418_BATCH_0001.csv","SHEET | COVER","FALSE"
"CP2_20240419_BATCH_0001.csv","COVER","FALSE"
"CP2_20240422_BATCH_0001.csv","SHEET | COVER","FALSE"
"CP2_20240423_BATCH_0001.csv","COVER","FALSE"
"CP2_20240424_BATCH_0001.csv","COVER","FALSE"
"CP2_20240429_BATCH_0001.csv","COVER","FALSE"
"CP2_20240430_BATCH_0001.csv","COVER","FALSE"
"CP2_20240502_BATCH_0001.csv","","TRUE"
"CP2_20240503_BATCH_0001.csv","","TRUE"
"CP2_20240506_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240507_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240508_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240509_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240510_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240513_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240514_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240515_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240516_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240517_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240520_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240521_BATCH_0001.csv","","TRUE"
"CP2_20240522_BATCH_0001.csv","","TRUE"
"CP2_20240523_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240524_BATCH_0001.csv","","TRUE"
"CP2_20240527_BATCH_0001.csv","","TRUE"
"CP2_20240528_BATCH_0001.csv","","TRUE"
"CP2_20240528_BATCH_0002.csv","SHEET","FALSE"
"CP2_20240529_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240530_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240531_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240603_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240604_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240605_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240606_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240607_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240610_BATCH_0001.csv","","TRUE"
"CP2_20240611_BATCH_0001.csv","","TRUE"
"CP2_20240612_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240613_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240614_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240617_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240618_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240619_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240620_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240621_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240625_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240626_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240627_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240627_BATCH_0002.csv","SHEET | COVER","FALSE"
"CP2_20240628_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240701_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240702_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240703_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240704_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240705_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240708_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240709_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240710_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240711_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240712_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240715_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240716_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240717_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240718_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240719_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240722_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240723_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240724_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240724_BATCH_0001b.csv","SHEET | COVER","FALSE"
"CP2_20240725_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240726_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240729_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240730_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240731_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240801_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240802_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240805_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240806_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240807_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240808_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240809_BATCH_0001.csv","","TRUE"
"CP2_20240812_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240813_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240814_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240816_BATCH_0001.csv","SHEET | COVER","FALSE"
"CP2_20240819_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240820_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240821_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240822_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240823_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240826_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240827_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240828_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240829_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240830_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240902_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240903_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240904_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240905_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240906_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240909_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240910_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240911_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240912_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240913_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240916_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240917_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240918_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240919_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240920_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240923_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240924_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240925_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240926_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240927_BATCH_0001.csv","SHEET","FALSE"
"CP2_20240930_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241001_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241002_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241003_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241004_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241007_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241008_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241009_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241010_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241011_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241014_BATCH_0001.csv","SHEET | COVER","FALSE"
"CP2_20241015_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241016_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241017_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241018_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241021_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241022_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241023_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241024_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241025_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241028_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241029_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241030_BATCH_0001.csv","SHEET","FALSE"
"CP2_20241031_BATCH_0001.csv","SHEET","FALSE"
